project,option,vendor_raw,vendor_normalized,trade,source_type,source_path,locator,file_ext,file_size_bytes,status,notes,pdf_proof_bucket,doc_role
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 05 PM","Photo Nov 11 2025, 1 34 05 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 05 PM.jpg",TBD,.jpg,2737271,unparsed,"photos/Photo Nov 11 2025, 1 34 05 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 06 PM","Photo Nov 11 2025, 1 34 06 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 06 PM.jpg",TBD,.jpg,2651950,unparsed,"photos/Photo Nov 11 2025, 1 34 06 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 07 PM","Photo Nov 11 2025, 1 34 07 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 07 PM.jpg",TBD,.jpg,2435631,unparsed,"photos/Photo Nov 11 2025, 1 34 07 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 09 PM","Photo Nov 11 2025, 1 34 09 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 09 PM.jpg",TBD,.jpg,2543846,unparsed,"photos/Photo Nov 11 2025, 1 34 09 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 11 PM","Photo Nov 11 2025, 1 34 11 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 11 PM.jpg",TBD,.jpg,2680604,unparsed,"photos/Photo Nov 11 2025, 1 34 11 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 12 PM","Photo Nov 11 2025, 1 34 12 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 12 PM.jpg",TBD,.jpg,2802410,unparsed,"photos/Photo Nov 11 2025, 1 34 12 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 13 PM","Photo Nov 11 2025, 1 34 13 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 13 PM.jpg",TBD,.jpg,2406349,unparsed,"photos/Photo Nov 11 2025, 1 34 13 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 18 PM","Photo Nov 11 2025, 1 34 18 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 18 PM.jpg",TBD,.jpg,2853438,unparsed,"photos/Photo Nov 11 2025, 1 34 18 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 19 PM","Photo Nov 11 2025, 1 34 19 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 19 PM.jpg",TBD,.jpg,2577757,unparsed,"photos/Photo Nov 11 2025, 1 34 19 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 21 PM","Photo Nov 11 2025, 1 34 21 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 21 PM.jpg",TBD,.jpg,2476053,unparsed,"photos/Photo Nov 11 2025, 1 34 21 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 22 PM","Photo Nov 11 2025, 1 34 22 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 22 PM.jpg",TBD,.jpg,2588879,unparsed,"photos/Photo Nov 11 2025, 1 34 22 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 23 PM","Photo Nov 11 2025, 1 34 23 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 23 PM.jpg",TBD,.jpg,2510008,unparsed,"photos/Photo Nov 11 2025, 1 34 23 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 24 PM","Photo Nov 11 2025, 1 34 24 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 24 PM.jpg",TBD,.jpg,2611859,unparsed,"photos/Photo Nov 11 2025, 1 34 24 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 26 PM","Photo Nov 11 2025, 1 34 26 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 26 PM.jpg",TBD,.jpg,2583471,unparsed,"photos/Photo Nov 11 2025, 1 34 26 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 27 PM","Photo Nov 11 2025, 1 34 27 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 27 PM.jpg",TBD,.jpg,2674797,unparsed,"photos/Photo Nov 11 2025, 1 34 27 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 29 PM","Photo Nov 11 2025, 1 34 29 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 29 PM.jpg",TBD,.jpg,2677868,unparsed,"photos/Photo Nov 11 2025, 1 34 29 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 30 PM","Photo Nov 11 2025, 1 34 30 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 30 PM.jpg",TBD,.jpg,2533452,unparsed,"photos/Photo Nov 11 2025, 1 34 30 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 31 PM","Photo Nov 11 2025, 1 34 31 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 31 PM.jpg",TBD,.jpg,2918310,unparsed,"photos/Photo Nov 11 2025, 1 34 31 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 32 PM","Photo Nov 11 2025, 1 34 32 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 32 PM.jpg",TBD,.jpg,2747256,unparsed,"photos/Photo Nov 11 2025, 1 34 32 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 33 PM","Photo Nov 11 2025, 1 34 33 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 33 PM.jpg",TBD,.jpg,2768610,unparsed,"photos/Photo Nov 11 2025, 1 34 33 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 35 PM","Photo Nov 11 2025, 1 34 35 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 35 PM.jpg",TBD,.jpg,2694044,unparsed,"photos/Photo Nov 11 2025, 1 34 35 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 37 PM","Photo Nov 11 2025, 1 34 37 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 37 PM.jpg",TBD,.jpg,2618183,unparsed,"photos/Photo Nov 11 2025, 1 34 37 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 41 PM","Photo Nov 11 2025, 1 34 41 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 41 PM.jpg",TBD,.jpg,2458527,unparsed,"photos/Photo Nov 11 2025, 1 34 41 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 42 PM","Photo Nov 11 2025, 1 34 42 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 42 PM.jpg",TBD,.jpg,2393203,unparsed,"photos/Photo Nov 11 2025, 1 34 42 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 43 PM","Photo Nov 11 2025, 1 34 43 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 43 PM.jpg",TBD,.jpg,2408092,unparsed,"photos/Photo Nov 11 2025, 1 34 43 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 45 PM","Photo Nov 11 2025, 1 34 45 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 45 PM.jpg",TBD,.jpg,2690478,unparsed,"photos/Photo Nov 11 2025, 1 34 45 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 47 PM","Photo Nov 11 2025, 1 34 47 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 47 PM.jpg",TBD,.jpg,2699014,unparsed,"photos/Photo Nov 11 2025, 1 34 47 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 48 PM","Photo Nov 11 2025, 1 34 48 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 48 PM.jpg",TBD,.jpg,2476367,unparsed,"photos/Photo Nov 11 2025, 1 34 48 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 52 PM","Photo Nov 11 2025, 1 34 52 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 52 PM.jpg",TBD,.jpg,2679313,unparsed,"photos/Photo Nov 11 2025, 1 34 52 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 35 00 PM","Photo Nov 11 2025, 1 35 00 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 35 00 PM.jpg",TBD,.jpg,2512505,unparsed,"photos/Photo Nov 11 2025, 1 35 00 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 35 01 PM","Photo Nov 11 2025, 1 35 01 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 35 01 PM.jpg",TBD,.jpg,2728011,unparsed,"photos/Photo Nov 11 2025, 1 35 01 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 35 03 PM","Photo Nov 11 2025, 1 35 03 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 35 03 PM.jpg",TBD,.jpg,2571900,unparsed,"photos/Photo Nov 11 2025, 1 35 03 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 35 04 PM","Photo Nov 11 2025, 1 35 04 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 35 04 PM.jpg",TBD,.jpg,2292607,unparsed,"photos/Photo Nov 11 2025, 1 35 04 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 35 10 PM","Photo Nov 11 2025, 1 35 10 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 35 10 PM.jpg",TBD,.jpg,2508911,unparsed,"photos/Photo Nov 11 2025, 1 35 10 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 35 13 PM","Photo Nov 11 2025, 1 35 13 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 35 13 PM.jpg",TBD,.jpg,1454173,unparsed,"photos/Photo Nov 11 2025, 1 35 13 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 35 21 PM","Photo Nov 11 2025, 1 35 21 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 35 21 PM.jpg",TBD,.jpg,2112139,unparsed,"photos/Photo Nov 11 2025, 1 35 21 PM.jpg",UNKNOWN,UNKNOWN
