project,option,vendor_raw,vendor_normalized,trade,source_type,source_path,locator,file_ext,file_size_bytes,status,notes,vendor_master_match,master_trade_section,match_type,match_score,needs_review,eml_from_email
C4WLS - St. Francis,unknown,St Francis Fl.2 Floor Plan EXISTING,St Francis Fl.2 Floor Plan EXISTING,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/St Francis_Fl.2-Floor Plan_EXISTING.pdf,pages=unknown,.pdf,173205,indexed_pdf,St Francis_Fl.2-Floor Plan_EXISTING.pdf,Spectra Contract Flooring,FLOORING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,St Francis Fl.2 Floor Plan EXISTING,St Francis Fl.2 Floor Plan EXISTING,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/St Francis_Fl.2-Floor Plan_EXISTING (1).pdf,pages=unknown,.pdf,173205,indexed_pdf,sub email/St Francis_Fl.2-Floor Plan_EXISTING (1).pdf,Spectra Contract Flooring,FLOORING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,UR,UR,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/Sub Bids/UR.pdf,pages=unknown,.pdf,157948,indexed_pdf,Sub Bids/UR.pdf,ARH Inc,CONCRETE,fuzzy,40,yes,
C4WLS - St. Francis,unknown,WW Wells,WW Wells,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/Sub Bids/WW Wells.pdf,pages=unknown,.pdf,72284,indexed_pdf,Sub Bids/WW Wells.pdf,W.W. Wells,MILLWORK,fuzzy,94,no,
C4WLS - St. Francis,unknown,OLESEN,OLESEN,unknown,email_quote,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/Sub Bids/OLESEN.eml,"email date=Sun, 04 Jan 2026 22:01:11 +0000 | from=Jordan West <jordanw@olsenelectric.net> | subject=RE: Federal Way Walk Tomorrow",.eml,3410782,indexed_email,Sub Bids/OLESEN.eml,Olsen Electric,ELECTRICAL,email_exact,100,no,jordanw@olsenelectric.net
C4WLS - St. Francis,unknown,IMG 1274,IMG 1274,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1274.jpeg,unindexed,.jpeg,3804607,unparsed,PHOTOS/IMG_1274.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1274,IMG 1274,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1274.jpeg,unindexed,.jpeg,3804607,unparsed,sub email/PHOTOS (1)/IMG_1274.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1275,IMG 1275,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1275.jpeg,unindexed,.jpeg,1825702,unparsed,PHOTOS/IMG_1275.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1275,IMG 1275,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1275.jpeg,unindexed,.jpeg,1825702,unparsed,sub email/PHOTOS (1)/IMG_1275.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1276,IMG 1276,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1276.jpeg,unindexed,.jpeg,3437317,unparsed,PHOTOS/IMG_1276.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1276,IMG 1276,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1276.jpeg,unindexed,.jpeg,3437317,unparsed,sub email/PHOTOS (1)/IMG_1276.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1277,IMG 1277,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1277.jpeg,unindexed,.jpeg,3534608,unparsed,PHOTOS/IMG_1277.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1277,IMG 1277,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1277.jpeg,unindexed,.jpeg,3534608,unparsed,sub email/PHOTOS (1)/IMG_1277.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1278,IMG 1278,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1278.jpeg,unindexed,.jpeg,2940793,unparsed,PHOTOS/IMG_1278.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1278,IMG 1278,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1278.jpeg,unindexed,.jpeg,2940793,unparsed,sub email/PHOTOS (1)/IMG_1278.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1279,IMG 1279,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1279.jpeg,unindexed,.jpeg,2830659,unparsed,PHOTOS/IMG_1279.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1279,IMG 1279,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1279.jpeg,unindexed,.jpeg,2830659,unparsed,sub email/PHOTOS (1)/IMG_1279.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1280,IMG 1280,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1280.jpeg,unindexed,.jpeg,3372373,unparsed,PHOTOS/IMG_1280.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1280,IMG 1280,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1280.jpeg,unindexed,.jpeg,3372373,unparsed,sub email/PHOTOS (1)/IMG_1280.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1281,IMG 1281,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1281.jpeg,unindexed,.jpeg,4658043,unparsed,PHOTOS/IMG_1281.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1281,IMG 1281,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1281.jpeg,unindexed,.jpeg,4658043,unparsed,sub email/PHOTOS (1)/IMG_1281.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1282,IMG 1282,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1282.jpeg,unindexed,.jpeg,4375048,unparsed,PHOTOS/IMG_1282.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1282,IMG 1282,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1282.jpeg,unindexed,.jpeg,4375048,unparsed,sub email/PHOTOS (1)/IMG_1282.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1283,IMG 1283,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1283.jpeg,unindexed,.jpeg,5121481,unparsed,PHOTOS/IMG_1283.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1283,IMG 1283,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1283.jpeg,unindexed,.jpeg,5121481,unparsed,sub email/PHOTOS (1)/IMG_1283.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1284,IMG 1284,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1284.jpeg,unindexed,.jpeg,5588904,unparsed,PHOTOS/IMG_1284.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1284,IMG 1284,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1284.jpeg,unindexed,.jpeg,5588904,unparsed,sub email/PHOTOS (1)/IMG_1284.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1285,IMG 1285,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1285.jpeg,unindexed,.jpeg,3325479,unparsed,PHOTOS/IMG_1285.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1285,IMG 1285,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1285.jpeg,unindexed,.jpeg,3325479,unparsed,sub email/PHOTOS (1)/IMG_1285.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1286,IMG 1286,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1286.jpeg,unindexed,.jpeg,3669676,unparsed,PHOTOS/IMG_1286.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1286,IMG 1286,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1286.jpeg,unindexed,.jpeg,3669676,unparsed,sub email/PHOTOS (1)/IMG_1286.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1287,IMG 1287,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1287.jpeg,unindexed,.jpeg,7774048,unparsed,PHOTOS/IMG_1287.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1287,IMG 1287,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1287.jpeg,unindexed,.jpeg,7774048,unparsed,sub email/PHOTOS (1)/IMG_1287.jpeg,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 1288,IMG 1288,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1288.jpeg,unindexed,.jpeg,5101537,unparsed,PHOTOS/IMG_1288.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1288,IMG 1288,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1288.jpeg,unindexed,.jpeg,5101537,unparsed,sub email/PHOTOS (1)/IMG_1288.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1289,IMG 1289,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1289.jpeg,unindexed,.jpeg,4349536,unparsed,PHOTOS/IMG_1289.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1289,IMG 1289,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1289.jpeg,unindexed,.jpeg,4349536,unparsed,sub email/PHOTOS (1)/IMG_1289.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1290,IMG 1290,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1290.jpeg,unindexed,.jpeg,4928452,unparsed,PHOTOS/IMG_1290.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1290,IMG 1290,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1290.jpeg,unindexed,.jpeg,4928452,unparsed,sub email/PHOTOS (1)/IMG_1290.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1291,IMG 1291,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1291.jpeg,unindexed,.jpeg,4742962,unparsed,PHOTOS/IMG_1291.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1291,IMG 1291,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1291.jpeg,unindexed,.jpeg,4742962,unparsed,sub email/PHOTOS (1)/IMG_1291.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1292,IMG 1292,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1292.jpeg,unindexed,.jpeg,4669741,unparsed,PHOTOS/IMG_1292.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1292,IMG 1292,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1292.jpeg,unindexed,.jpeg,4669741,unparsed,sub email/PHOTOS (1)/IMG_1292.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1293,IMG 1293,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1293.jpeg,unindexed,.jpeg,5192126,unparsed,PHOTOS/IMG_1293.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1293,IMG 1293,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1293.jpeg,unindexed,.jpeg,5192126,unparsed,sub email/PHOTOS (1)/IMG_1293.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1294,IMG 1294,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1294.jpeg,unindexed,.jpeg,4150835,unparsed,PHOTOS/IMG_1294.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 1294,IMG 1294,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1294.jpeg,unindexed,.jpeg,4150835,unparsed,sub email/PHOTOS (1)/IMG_1294.jpeg,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6925,IMG 6925,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6925.HEIC,unindexed,.heic,2723329,unparsed,PHOTOS/IMG_6925.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6925,IMG 6925,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6925.HEIC,unindexed,.heic,2723329,unparsed,sub email/PHOTOS (1)/IMG_6925.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6926,IMG 6926,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6926.HEIC,unindexed,.heic,2486818,unparsed,PHOTOS/IMG_6926.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6926,IMG 6926,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6926.HEIC,unindexed,.heic,2486818,unparsed,sub email/PHOTOS (1)/IMG_6926.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6927,IMG 6927,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6927 (1).HEIC,unindexed,.heic,2143102,unparsed,PHOTOS/IMG_6927 (1).HEIC,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 6927,IMG 6927,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6927.HEIC,unindexed,.heic,2143102,unparsed,PHOTOS/IMG_6927.HEIC,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 6927,IMG 6927,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6927 (1).HEIC,unindexed,.heic,2143102,unparsed,sub email/PHOTOS (1)/IMG_6927 (1).HEIC,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 6927,IMG 6927,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6927.HEIC,unindexed,.heic,2143102,unparsed,sub email/PHOTOS (1)/IMG_6927.HEIC,Axiom D7,ROOFING,fuzzy,50,yes,
